iteration,latency_ns
1,204688500
2,49991250
3,49289667
4,52486042
5,52543500
6,55059459
7,60108875
8,50233458
9,54390084
10,62545708
11,62309792
12,48921666
13,50527375
14,52550500
15,55504375
16,60244916
17,57507042
18,55003750
19,61391875
20,88401334
21,51481375
22,57441708
23,41194167
24,52086334
25,53718583
26,52657833
27,52660375
28,62243208
29,53538333
30,56588375
31,69315083
32,56893458
33,55817417
34,62118458
35,68910625
36,53445125
37,50859708
38,58456917
39,63262542
40,53829667
41,67687125
42,69537334
43,48659959
44,53028208
45,56741584
46,62902084
47,52678959
48,65619833
49,63466250
50,53771542
51,54969167
52,51196375
53,54457417
54,50840291
55,47746334
56,56419083
57,49217042
58,61290958
59,51988959
60,64288750
61,55200750
62,51284833
63,55816042
64,54563542
65,44354792
66,54105041
67,51113541
68,49329417
69,48301625
70,43590792
71,57006083
72,62151584
73,57257709
74,54524583
75,60690375
76,58603292
77,48417458
78,69816208
79,54815250
80,53897917
81,63078250
82,52615083
83,50022208
84,52535458
85,51934251
86,62432459
87,54742792
88,63792042
89,52480666
90,62072833
91,57111333
92,55095542
93,49122500
94,47189458
95,47554541
96,55493292
97,58262750
98,56551667
99,55407334
100,65882500
101,61928791
102,59110334
103,53186333
104,51382458
105,52863583
106,58476750
107,55471750
108,53812250
109,58211001
110,57563792
111,52863958
112,51786834
113,50652042
114,55494292
115,54520709
116,56535584
117,62417959
118,43703333
119,61717000
120,61626792
121,54992416
122,44917583
123,47040083
124,50152417
125,41519083
126,52393417
127,50852708
128,49507167
129,52644625
130,59962209
131,53599791
132,49995625
133,51185333
134,62897000
135,55035833
136,58893209
137,53883083
138,62089958
139,52947125
140,51568000
141,53542583
142,56035792
143,59016084
144,56236334
145,49611167
146,54390875
147,63976875
148,51723542
149,55181292
150,58806000
151,66256333
152,64683917
153,61951458
154,53177209
155,52587916
156,51454500
157,51400208
158,53270916
159,47789167
160,62034875
161,64283125
162,43792166
163,58390000
164,52364500
165,51341167
166,63361417
167,49869666
168,55509791
169,71128959
170,46591375
171,59014250
172,57861584
173,66811333
174,57819041
175,48203375
176,73944417
177,49819416
178,54467291
179,55240291
180,54976042
181,55857584
182,61417584
183,59088917
184,49591833
185,59473250
186,55035584
187,65503875
188,61433084
189,52642917
190,55107041
191,52970375
192,59617917
193,63577167
194,61924042
195,58212000
196,60091333
197,57205958
198,55313250
199,57837083
200,57695458
201,54303542
202,55943208
203,54007750
204,55667792
205,49422417
206,50571000
207,64945750
208,55950417
209,49956375
210,50908250
211,63150458
212,49561792
213,57361417
214,41237000
215,47402125
216,60285000
217,63971709
218,51325458
219,50387625
220,63863500
221,51431292
222,48590083
223,56804500
224,68004792
225,55372541
226,61104333
227,57496625
228,53749833
229,54162875
230,52125834
231,61373750
232,50194459
233,55389417
234,62488084
235,56833583
236,54952375
237,57540000
238,59357458
239,63180250
240,47974000
241,58637459
242,61461250
243,61097208
244,47831000
245,51290334
246,51020042
247,63101500
248,48261209
249,51975709
250,51637375
251,51970375
252,58114125
253,61034042
254,53266417
255,58268250
256,49441208
257,57064584
258,54316500
259,55696709
260,53984708
261,56156042
262,52952000
263,52269625
264,40664292
265,53492208
266,53395708
267,53630708
268,56318583
269,48910125
270,57761583
271,58886917
272,61575500
273,53770416
274,54697625
275,62696959
276,52098709
277,58869833
278,54276458
279,62820167
280,50463583
281,48514750
282,51442042
283,60523751
284,79494000
285,52771458
286,54937834
287,51998792
288,56379833
289,48792042
290,52712209
291,59473000
292,56147791
293,49427583
294,55761625
295,62263583
296,53050708
297,62669208
298,56750667
299,52569792
300,65093458
301,67384542
302,57708375
303,57768208
304,51048167
305,53035250
306,57017250
307,53980750
308,69852667
309,61195750
310,52635208
311,62560209
312,52439125
313,60483417
314,51655208
315,57050625
316,56942625
317,59687333
318,51392708
319,61549000
320,52854583
321,54473583
322,60513250
323,54994792
324,51412208
325,57286000
326,57761750
327,54620666
328,51512541
329,48843875
330,54412041
331,55921542
332,55532375
333,62820541
334,62354333
335,55725709
336,61369500
337,52970833
338,58284500
339,52806208
340,54082917
341,60648833
342,62137042
343,57078042
344,64740250
345,51788333
346,57444000
347,52614625
348,52042375
349,58831459
350,51692959
351,54954250
352,60837916
353,51364500
354,52908666
355,58627416
356,67293000
357,55510333
358,55227791
359,51241959
360,54461750
361,53264250
362,51022417
363,52451417
364,63366417
365,57636958
366,49836750
367,56017417
368,58703792
369,60798125
370,58775333
371,53996000
372,51547334
373,51862666
374,70063041
375,59582250
376,55533584
377,61796583
378,63405875
379,58142083
380,48471083
381,44180125
382,58745791
383,58819542
384,53452167
385,57449250
386,57938334
387,64697750
388,55540333
389,52656208
390,51924709
391,45487500
392,52456792
393,50572416
394,51945833
395,58837958
396,56180166
397,58375584
398,51073583
399,66250792
400,58607958
401,53300084
402,51784583
403,62466500
404,60290292
405,55136959
406,64976500
407,64104500
408,52607041
409,56920084
410,52990959
411,53295500
412,61527917
413,39540709
414,59770833
415,57867125
416,53052084
417,60077208
418,57403625
419,54049167
420,49362541
421,51659500
422,53307375
423,55790959
424,50150000
425,55380125
426,65310333
427,53413833
428,43299125
429,61142667
430,48612125
431,49090167
432,53498708
433,57979333
434,51297291
435,59653458
436,51520750
437,53724167
438,55587708
439,48930333
440,52742250
441,54799542
442,55743833
443,60657666
444,57292500
445,60130417
446,58153875
447,61943583
448,51998000
449,53815542
450,55167834
451,60284834
452,61616209
453,53009792
454,53881709
455,52096167
456,49396292
457,56694459
458,53502166
459,56299958
460,59473250
461,60893125
462,57295792
463,54009417
464,58334541
465,55362458
466,55003208
467,57034083
468,68654834
469,57107458
470,56746000
471,53733125
472,53087917
473,63630417
474,52801917
475,47630292
476,55466375
477,51510750
478,52482000
479,58542750
480,57463208
481,61706833
482,50200208
483,58386125
484,60470875
485,56737959
486,48843167
487,52908375
488,47572250
489,63096875
490,49488861
491,62567542
492,63009541
493,69781833
494,55578958
495,48190125
496,54548709
497,62348084
498,49476125
499,57902583
500,53979167
501,63504666
502,53678209
503,53499875
504,65132000
505,53935791
506,60823333
507,62815042
508,54982542
509,56205542
510,57091875
511,61592166
512,62250292
513,53500625
514,57034084
515,60908250
516,56173333
517,49037625
518,42755583
519,52988000
520,55609666
521,48137167
522,52153000
523,47718792
524,52511542
525,53582834
526,53149958
527,60286542
528,64401959
