iteration,latency_ns
1,219848917
2,53394041
3,56325292
4,65957250
5,55738792
6,46430667
7,50994750
8,45925292
9,56951417
10,52414375
11,48787666
12,49923083
13,53704875
14,53278792
15,53215875
16,51583542
17,55525000
18,62231542
19,47828416
20,52521000
21,48339750
22,53792666
23,48267541
24,54924208
25,55756792
26,53632750
27,58445792
28,53213542
29,50464792
30,48532625
31,53288334
32,62254083
33,45889709
34,41260291
35,56611084
36,53323416
37,49502125
38,53032583
39,50122001
40,52975500
41,54495667
42,56722625
43,51845250
44,58183000
45,53193292
46,52042750
47,49846875
48,52522000
49,53081459
50,49463792
51,57796042
52,53808958
53,44437584
54,51472708
55,47225500
56,55962334
57,52225708
58,53807375
59,53700250
60,54661667
61,47847583
62,55097042
63,47935125
64,55144250
65,53953626
66,54593625
67,50210458
68,56719042
69,60556167
70,59053750
71,52206083
72,52505250
73,48906375
74,47513917
75,58255333
76,53550708
77,52803792
78,43297958
79,56272958
80,57759542
81,56838000
82,57049583
83,48891750
84,56045667
85,54296875
86,56876875
87,47187584
88,53001209
89,50177375
90,39318625
91,50857375
92,54356417
93,47981791
94,42500875
95,53391625
96,52699500
97,49201791
98,48522916
99,52782833
100,55178125
101,52729666
102,43837458
103,54991208
104,54578125
105,53407834
106,50050000
107,55640792
108,53057208
109,51264666
110,53829542
111,53599333
112,46113250
113,52779333
114,47778709
115,54379542
116,54686500
117,53783709
118,50319375
119,54437667
120,50905166
121,54624584
122,58097791
123,51449542
124,50740667
125,56440583
126,48076167
127,53194209
128,49912709
129,52881541
130,48620542
131,53254709
132,48425959
133,51935292
134,53516917
135,53388042
136,47744750
137,67413375
138,48501000
139,56023292
140,54233084
141,50810667
142,50254708
143,60569667
144,51088208
145,48074833
146,51863250
147,48821750
148,52337458
149,53963125
150,52197000
151,53940834
152,56331834
153,53153291
154,54188042
155,55246583
156,50819042
157,58365250
158,48580334
159,51310584
160,51847167
161,50309791
162,55853625
163,50896500
164,51003833
165,55695542
166,55919083
167,52573292
168,56333792
169,49209000
170,48882708
171,61357833
172,51535375
173,51429500
174,50344500
175,51846667
176,51196417
177,55561875
178,56411708
179,52809042
180,51493167
181,59622417
182,54446709
183,53421584
184,44798125
185,54386917
186,47319625
187,47385917
188,39019500
189,49760625
190,52946375
191,52515750
192,48730000
193,49867000
194,49640833
195,47358000
196,52816834
197,51109875
198,56906917
199,45065708
200,55958625
201,61627250
202,55934916
203,44798166
204,46457750
205,51937625
206,51883000
207,51259459
208,61748375
209,54105917
210,56514375
211,55952917
212,86123833
213,50888083
214,57723959
215,57915250
216,50368792
217,58698083
218,56691167
219,49730541
220,45806500
221,54545875
222,40317375
223,52005459
224,55702042
225,50876500
226,49234709
227,57249208
228,43963333
229,54689750
230,55923458
231,52645875
232,53203125
233,51612875
234,50326750
235,48552875
236,44098084
237,53090458
238,53872667
239,54862125
240,49847584
241,53624167
242,51827667
243,45534833
244,52853333
245,48877625
246,53122667
247,45920667
248,59676417
249,54739208
250,51377250
251,54535083
252,52704667
253,61612667
254,50003167
255,53867083
256,50908875
257,52816334
258,63079834
259,57130959
260,56088333
261,46585959
262,52396250
263,42192000
264,53680709
265,52257333
266,53315458
267,60499125
268,53227167
269,58283917
270,43463750
271,46541459
272,47935583
273,55146500
274,64127917
275,60308583
276,49113750
277,48959375
278,56297458
279,44280709
280,45918500
281,47648333
282,51207083
283,58029167
284,59173959
285,48607750
286,59029125
287,51332959
288,54064166
289,52393625
290,52718500
291,53014750
292,51961333
293,49408500
294,63482958
295,56309000
296,50151083
297,51786125
298,51373833
299,53953959
300,49124500
301,44937083
