iteration,latency_ns
1,221351042
2,208513167
3,216085709
4,206625250
5,205991583
6,209775625
7,212090750
8,213997417
9,207548208
10,213370584
11,205529083
12,212696166
13,205175209
14,206490000
15,228793542
16,222116708
17,213337458
18,215868292
19,212063403
20,218507125
21,206803542
22,213184542
23,211929792
24,210692375
25,210645958
26,206589125
27,210061751
28,207722417
29,207833958
30,201217375
31,214048375
32,211496542
33,212031792
34,210765959
35,213513125
36,216530250
37,206581166
38,216944500
39,205388959
40,213185501
41,206039333
42,219448958
43,214628083
44,206850292
45,212502584
46,216452833
47,210950542
48,212308750
49,207732209
50,211426251
51,219525501
52,209694083
53,207680083
54,208253083
55,212180916
56,217539626
57,226765458
58,220125167
59,198115292
60,213416333
61,207888792
62,229210375
63,218132834
64,211735000
65,210014333
66,209146583
67,203733917
68,206055876
69,218033084
70,215377959
71,201831458
72,210905875
73,211593208
74,216804542
75,215266500
76,203071041
77,207252208
78,212027083
79,205881875
80,206168376
81,205240833
82,216004167
83,207666666
84,209209416
85,219380125
86,213619375
87,213035583
88,211213125
89,210214792
90,211776709
91,206366126
92,204895667
93,207785375
94,211449750
95,222697458
96,210321833
97,209728167
98,208667375
99,226336792
100,211179375
101,207583875
102,220673333
103,208957958
104,209087292
105,214794208
106,210833416
107,213587333
108,208774083
109,211832875
110,212576542
111,210272334
112,210930583
113,209572875
114,215597542
115,215704541
116,201942000
117,208130834
118,219472041
119,214614667
120,216284667
121,214246666
122,205576000
123,208190751
124,219500042
125,212329417
126,206084667
127,213519277
128,218941125
129,210036417
130,214908875
131,215798709
132,208928792
133,206973542
134,212013167
135,210152459
136,203096792
137,216882125
138,211703083
139,205220500
140,210282125
141,213209751
142,212290500
143,212437959
144,216065625
145,211540500
146,214342917
147,207490084
148,217507791
149,206288167
150,209870000
151,204001083
152,203923333
153,217747209
154,210727917
155,217499708
156,209418000
157,208201583
158,207594875
159,213274542
160,215901876
161,208451041
162,203840167
163,207967292
164,207298500
165,208474459
166,218363584
167,214619834
168,206980000
169,211954792
170,219786750
171,226316833
172,210340626
173,210366542
174,212964416
175,219799375
176,208870000
177,211732583
178,212676834
179,209477292
180,211039959
181,214875875
182,208387042
183,209612417
184,208816500
185,204052667
186,218822083
187,216589792
188,216681333
189,219069750
190,215917000
191,217833458
192,211659458
193,217166458
194,212372876
195,208393834
196,220813875
197,210242041
198,210471583
199,210451584
200,213229917
201,207758292
202,216709376
203,203123708
204,212687583
205,207400375
206,205573875
207,217246834
208,207480000
209,213985208
210,212534417
211,226248417
212,216244959
213,214016250
214,216450959
215,208700958
216,212274250
217,199256542
218,207222376
219,214472584
220,219283084
221,208422750
222,211440708
223,220034500
224,217288042
225,212267916
226,218850666
227,214472500
228,215382000
229,227393459
230,218896666
231,204807584
232,209192083
233,220857375
234,218310750
235,211356875
236,206310083
237,218773166
238,208611959
239,208178375
240,205167750
241,205055208
242,206856625
243,225674084
244,209901750
245,215044750
246,203851667
247,212219709
248,215192291
249,223316375
250,213838708
251,219393959
252,207069083
253,211196625
254,220573666
255,213648709
256,213709542
257,216647709
258,215957250
259,212337792
260,210788334
261,215735416
262,213412667
263,217035375
264,215049250
265,210456416
266,211100792
267,212557126
268,211961458
269,214231500
270,217461667
271,213396625
272,210263625
273,216887417
274,222820708
275,208859917
276,213507000
277,213123833
278,210961126
279,217673209
280,210513208
281,218441625
282,210598917
283,210596083
284,220604208
285,211966541
286,212633251
287,201424583
288,217036917
289,204774209
290,210924625
291,208425958
292,211733500
293,216546125
294,208488125
295,205649875
296,210684375
297,212980417
298,217014625
299,210073208
300,206517042
301,211823584
302,209716792
303,211035000
304,210378916
305,215154625
306,207820334
307,214096916
308,210257292
309,215224250
310,210655333
311,215724000
312,219941208
313,208104333
314,211962500
315,217818875
316,209161000
317,205069583
318,211833542
319,216400792
320,220111958
321,208321667
322,216214126
323,209987250
324,214756167
325,221349916
326,205762042
327,218201875
328,210882625
329,205577875
330,212980917
331,208239250
332,208148000
333,206656917
334,211844125
335,216374834
336,215253792
337,212388000
338,214646084
339,212171751
340,206154375
341,209956917
342,222090334
343,216986333
344,214995417
345,212561583
346,211772500
347,220817167
348,212053500
349,217732333
350,206464709
351,207663583
352,223033042
353,206989194
354,205982542
355,211792958
356,203274917
357,217222375
358,206093042
359,215661250
360,214451250
361,221505251
362,203399125
363,217894750
364,206115916
365,206910875
366,209038251
367,210858125
368,214681250
369,211900667
370,218579834
371,215299250
372,206972791
373,208951333
374,213152250
375,213914458
376,213812167
377,209155084
378,211279459
379,210505250
380,209081417
381,210418292
382,222122583
383,216567875
384,211459458
385,208688542
386,214272750
387,209357209
388,207297876
389,217670792
390,214486500
391,211054625
392,220219083
393,207902000
394,211193041
395,208768375
396,209988833
397,218768250
398,208000167
399,223521667
400,214595542
401,215825375
402,203897542
403,212624709
404,216533626
405,210108000
406,209697791
407,208154542
408,208819250
409,213876333
410,199983834
411,206338167
412,216017834
413,208197416
414,214430750
415,218958500
416,211177417
417,206216417
418,214790917
419,209092459
420,208357458
421,209656125
422,210991291
423,205418708
424,209327583
425,211983667
426,214460083
427,211816250
428,215139375
429,211181875
430,217870250
431,211210501
432,203395000
433,214611167
434,213109708
435,210509167
436,217719376
437,205646250
438,209422792
