iteration,latency_ns
1,648906708
2,659152375
3,648242000
4,649645667
5,646663292
6,638853667
7,653700000
8,642344459
9,659898376
10,651597875
11,644818792
12,649879000
13,644093792
14,653337834
15,649566542
16,644033625
17,642883583
18,635477750
19,648216334
20,638227333
21,641160834
22,652957167
23,645951292
24,632118958
25,644903750
26,640950084
27,653156542
28,636627125
29,648906583
30,644705875
31,648587292
32,641856528
33,646059292
34,642038334
35,636276750
36,641288042
37,637607250
38,642287001
39,642997167
40,636051501
41,647247001
42,660968542
43,679584251
44,658442417
45,643381250
46,641116334
47,652502125
48,647463917
49,639520458
50,649294417
51,632958250
52,643934000
53,643004000
54,645520458
55,640375792
56,652135458
57,652150501
58,648387209
59,642799027
60,646442126
61,648633959
62,645583750
63,640628958
64,653224126
65,641796792
66,649178417
67,646995417
68,638774542
69,637847584
70,645333209
71,652892709
72,644586708
73,653562209
74,641555876
75,642564626
76,640969375
77,634972459
78,647512708
79,646103875
80,646417376
81,654206959
82,643222334
83,636465625
84,645376584
85,634746126
86,645307611
87,657637875
88,647358459
89,638906125
90,644293292
91,639892167
92,642092334
93,641221208
94,650966167
95,640851250
96,642370875
97,645869834
98,639454292
99,655477625
100,641021959
101,642067875
102,639071834
103,642644542
104,638436876
105,638926250
106,633730667
107,657340958
108,641819084
109,649514417
110,648046375
111,643553042
112,645825583
113,643341792
114,637528375
115,637672500
116,656980625
117,646494708
118,645598667
119,638343376
120,657806459
121,642097167
122,650028875
123,644085000
124,646063792
125,639949251
126,651266125
127,640599042
128,642466834
129,635224000
130,648315334
131,641455125
132,643949001
133,647066917
134,637553084
135,642479875
136,641958750
137,641008584
138,646429625
139,651356083
140,641431833
141,646114001
142,646524292
143,640170334
144,637682583
145,646333792
146,659609375
147,650704167
148,643051667
149,638283250
150,639290917
151,643715042
152,648858667
153,641209334
154,638766111
155,640291125
156,649195417
157,652554042
158,653570167
159,638960167
160,653518376
161,639571667
162,660160708
163,640252876
164,629856876
165,658696292
166,648296875
167,638570459
168,643371500
169,635563667
170,643417583
171,635635209
172,645454917
173,650815251
174,647337709
175,640637834
176,645071417
177,641375750
178,657270334
179,754939667
180,659578959
181,757889236
182,656508292
183,642865001
184,700300583
185,757497917
186,754889250
187,677115667
188,642749042
189,752247125
190,753047167
191,667726667
192,693064126
193,647517042
194,639843319
195,645658917
196,642833584
197,638476459
198,636377125
199,672043375
200,648178083
201,637227041
202,648071542
203,655632083
204,642751000
205,661772792
206,659973750
207,654976209
208,641887417
209,749968667
210,657140917
211,685678084
212,746284708
213,698685626
214,684836542
215,643469667
216,683865209
217,632212625
218,643124292
219,635079584
220,648473792
221,655632042
222,644460209
223,654327084
224,644792542
225,640931209
226,727124376
227,673167126
228,652798667
229,766545751
230,656209626
231,708664542
232,647697626
233,648892792
234,754661403
235,680227375
236,641529209
237,649970417
238,643157417
239,735716959
240,640844084
241,703971126
242,651368708
243,636026125
244,665417334
245,685329042
246,665313709
247,756909361
248,650880792
249,642610709
250,649228667
251,749512959
252,658494667
253,657079625
254,674416334
255,707182417
256,657638792
257,639982542
258,735238334
259,652275709
260,656081209
261,650513084
262,644155208
263,699914625
264,655163792
265,684293001
266,679304334
267,668853625
268,674248917
269,643422625
270,642239667
271,655270000
272,679297000
273,655080625
274,682410917
275,637375958
276,694656500
277,751277208
278,632576708
279,736213125
280,656363542
281,753364292
282,655034667
283,648888667
284,741009042
285,639591167
286,748902958
287,657363542
288,747513833
289,762226542
290,654688500
291,661634751
292,699193708
293,753068708
294,660857584
295,649468792
296,660590417
297,640496500
298,646657375
299,679673917
300,634487416
301,640017626
302,646819959
303,649993917
304,762131292
305,644279709
306,727226750
307,649414250
308,668679001
309,657568542
310,649235542
311,651561792
312,642561125
313,706454486
314,659955917
315,671459042
316,766545458
317,647629375
318,632039376
319,749892000
320,656853542
321,660846292
322,640797501
323,645727208
324,709584792
325,656469208
326,662924959
327,648919042
328,638605001
329,723021334
330,636614209
331,644126833
332,663602334
333,661491167
334,705023584
335,748126125
336,655973542
337,637020625
338,637360666
339,656620250
340,758289417
341,689117125
342,651963542
343,687340542
344,639811459
345,643873584
346,655145542
347,656308917
348,657446459
349,752204584
350,655026667
351,748771792
352,750432667
353,648112250
354,663421876
355,699727292
356,642470292
357,702940000
358,648497958
359,720845542
360,716507250
361,651596959
362,662327000
363,640046417
364,660090083
365,695214000
366,663215069
367,647047542
368,750467667
369,655318709
370,692705709
371,641521417
372,644744833
373,760079584
374,657643542
375,751355000
376,755975542
377,758700042
378,698748917
379,657206708
380,761998126
381,635283292
382,637795709
383,644574167
384,683145167
385,657743834
386,752689501
387,633408417
388,691656250
389,639389792
390,664907042
391,688472500
392,642778250
393,652887625
394,641256417
395,645291500
396,643856084
397,641345250
398,647930042
399,631694792
400,651434501
401,660674042
402,672052500
403,670283542
404,751190792
405,690222709
406,657191750
407,697586792
408,752467501
409,751717667
410,647227917
411,744705876
412,681381792
413,653732292
414,652539458
415,654646751
416,655250792
417,641657042
418,643883751
419,637857402
420,644899125
421,645347959
422,646571084
423,652428583
424,655434250
425,647810626
426,648711750
427,646105500
428,641239250
429,648246292
430,638794917
431,664626667
432,639382667
433,641861417
434,659168000
435,638675209
436,639235751
437,647608042
438,641532042
439,634710750
440,650838291
441,640334709
442,645225917
443,637553750
444,639919084
445,640447209
446,645416819
447,643854209
448,637998459
449,649954625
450,643647001
451,661155625
452,653135625
453,657333542
454,754346292
455,752370168
456,642759083
457,644194167
458,637989292
459,651258167
460,645267500
461,646770625
462,650875125
463,641679625
464,638671167
465,713016209
466,655055958
467,743161626
468,651780542
469,637468416
470,641408292
471,643464625
472,643910417
473,649540445
474,650329584
475,642286125
476,644734709
477,655633417
478,697358084
479,660982416
480,755719667
481,647556042
482,742037292
483,651803751
484,755504584
485,659043834
486,654185736
487,651402250
488,660899834
489,646015126
490,653957834
491,640396250
492,662425876
493,699935042
494,735286542
495,676669375
496,654766084
497,644005459
498,647734667
499,654908916
500,646587667
501,653894626
502,648852834
503,649609667
504,761914584
505,643086875
506,648870917
507,637587167
508,655262708
509,643027750
510,643748125
511,641127500
512,758991167
513,633247194
514,721012708
515,642558959
516,687992042
517,644214084
518,644799501
519,648987709
520,644578084
521,653629417
522,736704417
523,645923458
524,635151625
525,634674792
526,644529375
527,659473959
528,642247834
529,644218042
530,636963500
531,644167417
532,647808959
533,638921708
534,649882709
535,646495334
536,643862000
537,672978875
538,685252251
539,648297209
540,662505958
541,645000667
542,652489833
543,646687875
544,649588501
545,647098375
546,677660375
547,636686417
548,649251417
549,662088917
550,650296709
551,641315917
552,653210376
553,633262000
554,652511542
555,647545083
556,641493042
557,744345542
558,631999292
559,654082417
560,653520958
561,633765125
562,646803917
563,645672500
564,753009458
565,655002334
566,643642667
567,659294167
568,657884125
569,660140792
570,646548376
571,646302292
572,639192584
573,634187958
574,656766084
575,653477042
576,646674375
577,722053959
578,651613625
579,652457292
580,645876958
581,640918875
582,642492959
583,633559584
584,654303458
585,647031667
586,648731667
587,647536667
588,661436834
589,653952917
590,639398292
591,639679042
592,644807167
593,634354209
594,743892334
595,672949125
596,763537042
597,650651375
598,650302251
599,654801459
600,644349375
601,637436125
602,645104792
603,647928000
604,639260959
605,636760000
606,644998751
607,640178361
608,637208542
609,725290959
610,748724625
611,654646584
612,661622834
613,754318334
614,657244042
615,656351917
616,656520625
617,746419626
618,644121376
619,661493959
620,708475528
621,680635000
622,655511917
623,660458042
624,676432875
625,693335875
626,652973625
627,640669709
628,640153292
629,662766209
630,642994250
631,651363834
632,657343751
633,653763834
634,637756708
635,665247334
636,640957959
637,758197084
638,755308584
639,756519167
640,655708250
641,646981792
642,757665792
643,683290417
644,657139625
645,644315292
646,750363583
647,638636042
648,650211959
649,637240250
650,749096917
651,650832834
652,660752625
653,694199709
654,754251542
655,660901416
656,655428250
657,658688334
658,650988501
659,644107376
660,763138042
661,665727459
662,687404376
663,659631167
664,747496042
665,640755959
666,650126084
667,643967459
668,745298334
669,715898751
670,649109875
671,660809292
672,659122042
673,695936694
674,646224459
675,740325168
676,686820083
677,664200125
678,684288417
679,685275167
680,666550334
681,632324958
682,703160417
683,667049917
684,646311833
685,661984333
686,636020611
687,692097583
688,646017667
689,659387500
690,634067792
691,661770251
692,658886959
693,639105250
694,709840958
695,660302209
696,760071250
697,656961667
698,680987667
699,657120125
700,659406667
701,652928417
702,694991292
703,656469083
704,645553501
705,640292167
706,660716625
707,646498375
708,652847959
709,639604667
710,643339125
711,650892375
712,638916167
713,757669667
714,644932459
715,646249959
716,754274917
717,685460042
718,660563542
719,657565209
720,653465917
721,644541667
722,676984500
723,652990501
724,756151042
725,662220250
726,744240361
727,706933959
728,658711167
729,696033084
730,643531458
731,752043501
732,644242667
733,649091042
734,645017750
735,758561958
736,757056209
737,632072084
738,730036125
739,674371652
740,640298333
741,649403333
742,654112000
743,684021542
744,676941458
745,741759584
746,651564084
747,656247167
748,646456209
749,653293500
750,647163583
751,690177125
752,636134209
753,652709626
754,742837250
755,651995500
756,640127959
757,687846042
758,758077459
759,745453292
760,653947375
761,644666042
762,681209042
763,658305251
764,644908167
765,663047500
766,645589459
767,659162625
