iteration,latency_ns
1,216604833
2,53762583
3,55743709
4,47404583
5,49955708
6,59589541
7,53505417
8,50943875
9,49271666
10,49055292
11,53405333
12,49834583
13,55979084
14,58682167
15,53065833
16,50163875
17,51843375
18,49574875
19,49789959
20,54125708
21,53829750
22,50292750
23,51297666
24,44240542
25,57529875
26,53176750
27,58028750
28,56497750
29,52938583
30,47210750
31,57619250
32,67350167
33,49207584
34,52572292
35,49583708
36,65344500
37,57043916
38,51036375
39,59365875
40,51677333
41,58421625
42,56992042
43,52937875
44,45207542
45,52755792
46,51360416
47,62643667
48,52719708
49,55739875
50,78282625
51,57814541
52,55916292
53,51774625
54,57189541
55,44297167
56,45754167
57,46416084
58,65985375
59,54012417
60,58997792
61,61602792
62,50153250
63,56542083
64,65810333
65,53862083
66,48820250
67,55549333
68,69957500
69,50395334
70,46298042
71,47022709
72,50842250
73,64816791
74,46780917
75,56530708
76,49139666
77,59612167
78,53750500
79,61327542
80,54136208
81,54046625
82,56670125
83,62167875
84,52095833
85,45161208
86,56406667
87,42899750
88,47738000
89,44340042
90,56236625
91,53318417
92,54844542
93,56133583
94,49375167
95,43480486
96,56020000
97,54764958
98,55753084
99,55971208
100,47095417
101,53694334
102,52254000
103,64164750
104,58232500
105,59969041
106,51690834
107,49249458
108,55673917
109,41908208
110,53054042
111,45048208
112,54115000
113,64769125
114,52452084
115,43370666
116,52569667
117,54035666
118,48695292
119,57097959
120,52283416
121,57077625
122,55824541
123,52644583
124,57192333
125,74057459
126,55404250
127,49561500
128,47760208
129,57717291
130,44913500
131,47797416
132,46834458
133,61276376
134,43863917
135,53404750
136,56688875
137,63705291
138,56854416
139,53048083
140,44975209
141,66365375
142,47927250
143,46653625
144,46656458
145,50198625
146,47042792
147,44167083
148,48805125
149,57982958
150,48142125
151,58149125
152,48855000
153,52207125
154,53856958
155,67956875
156,55658583
157,49073417
158,60141166
159,64447750
160,57657500
161,56840208
162,56644209
163,54254667
164,56482375
165,45038083
166,56984208
167,43795250
168,57491500
169,49696250
170,56263541
171,44258166
172,61950459
173,52532583
174,60536834
175,55360042
176,56652958
177,43968958
178,48656750
179,53918667
180,54096666
181,47984958
182,71168958
183,52336208
184,58052708
185,51753042
186,50850875
187,55963416
188,52673041
189,58209666
190,57321667
191,51869000
192,58668750
193,65054125
194,53708000
195,53959250
196,52689250
197,56779125
198,60890333
199,62401625
200,54463625
201,43675083
202,54346541
203,42689750
204,48703000
205,51973750
206,56143375
207,59091458
208,52185666
209,57929084
210,44028083
211,47959084
212,57586500
213,57287209
214,44254334
215,57688709
216,56550458
217,53871625
218,48476000
219,57186625
220,62174000
221,54798041
222,57878417
223,43075167
224,53294375
225,62759458
226,67108209
227,55146000
228,62149208
229,41714084
230,66014375
231,66962000
232,53592125
233,61250791
234,54042833
235,53904292
236,49313083
237,47909625
238,59435541
239,53545333
240,51697125
241,45517084
